Num,Name,Type_1,Attribute,Winning_Perc
1,Bulbasaur,Grass,49,28
2,Ivysaur,Grass,62,38
3,Venusaur,Grass,82,67
4,Mega Venusaur,Grass,100,56
5,Charmander,Fire,52,49
6,Charmeleon,Fire,64,54
7,Charizard,Fire,84,86
8,Mega Charizard X,Fire,130,86
9,Mega Charizard Y,Fire,104,84
10,Squirtle,Water,48,16
11,Wartortle,Water,63,42
13,Mega Blastoise,Water,103,58
14,Caterpie,Bug,30,15
15,Metapod,Bug,20,10
16,Butterfree,Bug,45,63
17,Weedle,Bug,35,23
18,Kakuna,Bug,25,13
19,Beedrill,Bug,90,63
20,Mega Beedrill,Bug,150,97
21,Pidgey,Normal,45,37
22,Pidgeotto,Normal,60,53
23,Pidgeot,Normal,80,86
24,Mega Pidgeot,Normal,80,94
25,Rattata,Normal,56,48
26,Raticate,Normal,81,72
27,Spearow,Normal,60,45
28,Fearow,Normal,90,84
29,Ekans,Poison,60,37
30,Arbok,Poison,85,58
31,Pikachu,Electric,55,68
32,Raichu,Electric,90,87
34,Sandslash,Ground,100,53
35,Nidoranâ™€,Poison,47,17
36,Nidorina,Poison,62,39
37,Nidoqueen,Poison,92,54
38,Nidoranâ™‚,Poison,57,25
39,Nidorino,Poison,72,40
40,Nidoking,Poison,102,56
41,Clefairy,Fairy,45,16
42,Clefable,Fairy,70,40
43,Vulpix,Fire,41,41
44,Ninetales,Fire,76,81
45,Jigglypuff,Normal,45,12
47,Zubat,Poison,45,38
48,Golbat,Poison,80,76
49,Oddish,Grass,50,6
50,Gloom,Grass,65,22
51,Vileplume,Grass,80,35
52,Paras,Bug,70,9
53,Parasect,Bug,95,19
54,Venonat,Bug,55,22
55,Venomoth,Bug,65,66
56,Diglett,Ground,55,54
57,Dugtrio,Ground,80,84
58,Meowth,Normal,45,65
59,Persian,Normal,70,86
60,Psyduck,Water,52,33
61,Golduck,Water,82,69
62,Mankey,Fighting,80,47
63,,Fighting,105,79
64,Growlithe,Fire,70,45
65,Arcanine,Fire,110,80
67,Poliwhirl,Water,65,72
68,Poliwrath,Water,95,52
69,Abra,Psychic,20,32
70,Kadabra,Psychic,35,67
71,Alakazam,Psychic,50,77
72,Mega Alakazam,Psychic,50,78
73,Machop,Fighting,80,14
74,Machoke,Fighting,100,26
75,Machamp,Fighting,130,44
76,Bellsprout,Grass,75,21
77,Weepinbell,Grass,90,37
79,Tentacool,Water,40,50
80,Tentacruel,Water,70,80
81,Geodude,Rock,80,12
82,Graveler,Rock,95,21
83,Golem,Rock,120,37
84,Ponyta,Fire,85,75
85,Rapidash,Fire,100,87
86,Slowpoke,Water,65,20
87,Slowbro,Water,75,15
88,Mega Slowbro,Water,75,14
89,Magnemite,Electric,35,17
91,Farfetch'd,Normal,65,45
