Num,Name,Type_1,Attribute,Winning_Perc
1,Bulbasaur,Grass,49,28
2,Ivysaur,Grass,63,38
3,Venusaur,Grass,83,67
4,Mega Venusaur,Grass,123,56
5,Charmander,Fire,43,49
6,Charmeleon,Fire,58,54
7,Charizard,Fire,78,86
8,Mega Charizard X,Fire,111,86
9,Mega Charizard Y,Fire,78,84
10,Squirtle,Water,65,16
11,Wartortle,Water,80,42
13,Mega Blastoise,Water,120,58
14,Caterpie,Bug,35,15
15,Metapod,Bug,55,10
16,Butterfree,Bug,50,63
17,Weedle,Bug,30,23
18,Kakuna,Bug,50,13
19,Beedrill,Bug,40,63
20,Mega Beedrill,Bug,40,97
21,Pidgey,Normal,40,37
22,Pidgeotto,Normal,55,53
23,Pidgeot,Normal,75,86
24,Mega Pidgeot,Normal,80,94
25,Rattata,Normal,35,48
26,Raticate,Normal,60,72
27,Spearow,Normal,30,45
28,Fearow,Normal,65,84
29,Ekans,Poison,44,37
30,Arbok,Poison,69,58
31,Pikachu,Electric,40,68
32,Raichu,Electric,55,87
34,Sandslash,Ground,110,53
35,Nidoranâ™€,Poison,52,17
36,Nidorina,Poison,67,39
37,Nidoqueen,Poison,87,54
38,Nidoranâ™‚,Poison,40,25
39,Nidorino,Poison,57,40
40,Nidoking,Poison,77,56
41,Clefairy,Fairy,48,16
42,Clefable,Fairy,73,40
43,Vulpix,Fire,40,41
44,Ninetales,Fire,75,81
45,Jigglypuff,Normal,20,12
47,Zubat,Poison,35,38
48,Golbat,Poison,70,76
49,Oddish,Grass,55,6
50,Gloom,Grass,70,22
51,Vileplume,Grass,85,35
52,Paras,Bug,55,9
53,Parasect,Bug,80,19
54,Venonat,Bug,50,22
55,Venomoth,Bug,60,66
56,Diglett,Ground,25,54
57,Dugtrio,Ground,50,84
58,Meowth,Normal,35,65
59,Persian,Normal,60,86
60,Psyduck,Water,48,33
61,Golduck,Water,78,69
62,Mankey,Fighting,35,47
63,,Fighting,60,79
64,Growlithe,Fire,45,45
65,Arcanine,Fire,80,80
67,Poliwhirl,Water,65,72
68,Poliwrath,Water,95,52
69,Abra,Psychic,15,32
70,Kadabra,Psychic,30,67
71,Alakazam,Psychic,45,77
72,Mega Alakazam,Psychic,65,78
73,Machop,Fighting,50,14
74,Machoke,Fighting,70,26
75,Machamp,Fighting,80,44
76,Bellsprout,Grass,35,21
77,Weepinbell,Grass,50,37
79,Tentacool,Water,35,50
80,Tentacruel,Water,65,80
81,Geodude,Rock,100,12
82,Graveler,Rock,115,21
83,Golem,Rock,130,37
84,Ponyta,Fire,55,75
85,Rapidash,Fire,70,87
86,Slowpoke,Water,65,20
87,Slowbro,Water,110,15
88,Mega Slowbro,Water,180,14
89,Magnemite,Electric,70,17
91,Farfetch'd,Normal,55,45
92,Doduo,Normal,45,65
93,Dodrio,Normal,70,85
94,Seel,Water,55,24
95,Dewgong,Water,80,52
96,Grimer,Poison,50,18
97,Muk,Poison,75,38
98,Shellder,Water,100,19
99,Cloyster,Water,180,53
100,Gastly,Ghost,30,48
101,Haunter,Ghost,45,69
102,Gengar,Ghost,60,77
103,Mega Gengar,Ghost,80,86
104,Onix,Rock,160,48
105,Drowzee,Psychic,45,22
106,Hypno,Psychic,70,51
107,Krabby,Water,90,28
108,Kingler,Water,115,60
109,Voltorb,Electric,50,58
110,Electrode,Electric,70,84
111,Exeggcute,Grass,80,24
112,Exeggutor,Grass,85,39
113,Cubone,Ground,95,20
114,Marowak,Ground,110,28
115,Hitmonlee,Fighting,53,64
116,Hitmonchan,Fighting,79,62
117,Lickitung,Normal,75,14
118,Koffing,Poison,95,14
119,Weezing,Poison,120,43
120,Rhyhorn,Ground,95,29
121,Rhydon,Ground,120,44
122,Chansey,Normal,5,15
123,Tangela,Grass,115,38
124,Kangaskhan,Normal,80,75
125,Mega Kangaskhan,Normal,100,84
126,Horsea,Water,70,41
127,Seadra,Water,95,66
128,Goldeen,Water,60,51
129,Seaking,Water,65,48
130,Staryu,Water,55,56
131,Starmie,Water,85,90
132,Mr. Mime,Psychic,65,56
133,Scyther,Bug,80,88
134,Jynx,Ice,35,73
135,Electabuzz,Electric,57,89
136,Magmar,Fire,57,74
137,Pinsir,Bug,100,65
138,Mega Pinsir,Bug,120,87
139,Tauros,Normal,95,87
140,Magikarp,Water,55,18
141,Gyarados,Water,79,62
142,Mega Gyarados,Water,109,68
143,Lapras,Water,80,44
145,Eevee,Normal,50,37
146,Vaporeon,Water,60,52
147,Jolteon,Electric,60,93
148,Flareon,Fire,60,53
149,Porygon,Normal,70,18
150,Omanyte,Rock,100,18
151,Omastar,Rock,125,36
152,Kabuto,Rock,90,43
153,Kabutops,Rock,105,72
154,Aerodactyl,Rock,65,96
155,Mega Aerodactyl,Rock,85,98
156,Snorlax,Normal,65,36
157,Articuno,Ice,100,68
158,Zapdos,Electric,85,77
159,Moltres,Fire,90,74
160,Dratini,Dragon,45,37
161,Dragonair,Dragon,65,50
162,Dragonite,Dragon,95,63
163,Mewtwo,Psychic,90,93
164,Mega Mewtwo X,Psychic,100,93
165,Mega Mewtwo Y,Psychic,70,95
166,Mew,Psychic,100,83
167,Chikorita,Grass,65,28
168,Bayleef,Grass,80,43
169,Meganium,Grass,100,68
170,Cyndaquil,Fire,43,50
171,Quilava,Fire,58,61
172,Typhlosion,Fire,78,86
173,Totodile,Water,64,22
174,Croconaw,Water,80,44
175,Feraligatr,Water,100,59
176,Sentret,Normal,34,7
177,Furret,Normal,64,67
178,Hoothoot,Normal,30,32
179,Noctowl,Normal,50,50
180,Ledyba,Bug,30,23
181,Ledian,Bug,50,63
182,Spinarak,Bug,40,9
184,Crobat,Poison,80,93
185,Chinchou,Water,38,53
186,Lanturn,Water,58,52
187,Pichu,Electric,15,34
188,Cleffa,Fairy,28,6
189,Igglybuff,Normal,15,4
190,Togepi,Fairy,65,2
191,Togetic,Fairy,85,24
192,Natu,Psychic,45,55
193,Xatu,Psychic,70,73
194,Mareep,Electric,40,16
195,Flaaffy,Electric,55,22
196,Ampharos,Electric,85,34
197,Mega Ampharos,Electric,105,29
198,Bellossom,Grass,95,22
199,Marill,Water,50,16
200,Azumarill,Water,80,34
201,Sudowoodo,Rock,115,24
202,Politoed,Water,75,55
203,Hoppip,Grass,40,40
204,Skiploom,Grass,50,55
205,Jumpluff,Grass,70,84
206,Aipom,Normal,55,71
207,Sunkern,Grass,30,13
208,Sunflora,Grass,55,16
209,Yanma,Bug,45,72
210,Wooper,Water,45,5
211,Quagsire,Water,85,26
212,Espeon,Psychic,60,82
213,Umbreon,Dark,110,53
214,Murkrow,Dark,42,82
215,Slowking,Water,80,24
216,Misdreavus,Ghost,60,63
217,Unown,Psychic,48,26
218,Wobbuffet,Psychic,58,13
219,Girafarig,Normal,65,58
220,Pineco,Bug,90,15
221,Forretress,Bug,140,30
222,Dunsparce,Normal,70,19
223,Gligar,Ground,105,69
224,Steelix,Steel,200,17
225,Mega Steelix,Steel,230,34
226,Snubbull,Fairy,50,15
227,Granbull,Fairy,75,29
228,Qwilfish,Water,75,69
229,Scizor,Bug,100,61
230,Mega Scizor,Bug,140,55
231,Shuckle,Bug,230,0
232,Heracross,Bug,75,69
233,Mega Heracross,Bug,115,62
234,Sneasel,Dark,55,94
235,Teddiursa,Normal,50,24
237,Slugma,Fire,40,3
238,Magcargo,Fire,120,7
239,Swinub,Ice,40,28
240,Piloswine,Ice,80,31
241,Corsola,Water,85,20
242,Remoraid,Water,35,47
243,Octillery,Water,75,33
244,Delibird,Ice,45,57
245,Mantine,Water,70,60
246,Skarmory,Steel,140,52
247,Houndour,Dark,30,46
248,Houndoom,Dark,50,80
249,Mega Houndoom,Dark,90,95
