Num,Name,Type_1,Attribute,Winning_Perc
1,Bulbasaur,Grass,45,28
2,Ivysaur,Grass,60,38
3,Venusaur,Grass,80,67
4,Mega Venusaur,Grass,80,56
5,Charmander,Fire,39,49
6,Charmeleon,Fire,58,54
7,Charizard,Fire,78,86
8,Mega Charizard X,Fire,78,86
9,Mega Charizard Y,Fire,78,84
10,Squirtle,Water,44,16
11,Wartortle,Water,59,42
13,Mega Blastoise,Water,79,58
14,Caterpie,Bug,45,15
15,Metapod,Bug,50,10
16,Butterfree,Bug,60,63
17,Weedle,Bug,40,23
18,Kakuna,Bug,45,13
19,Beedrill,Bug,65,63
20,Mega Beedrill,Bug,65,97
21,Pidgey,Normal,40,37
22,Pidgeotto,Normal,63,53
23,Pidgeot,Normal,83,86
24,Mega Pidgeot,Normal,83,94
25,Rattata,Normal,30,48
26,Raticate,Normal,55,72
27,Spearow,Normal,40,45
28,Fearow,Normal,65,84
29,Ekans,Poison,35,37
30,Arbok,Poison,60,58
31,Pikachu,Electric,35,68
32,Raichu,Electric,60,87
34,Sandslash,Ground,75,53
35,Nidoranâ™€,Poison,55,17
36,Nidorina,Poison,70,39
37,Nidoqueen,Poison,90,54
38,Nidoranâ™‚,Poison,46,25
39,Nidorino,Poison,61,40
40,Nidoking,Poison,81,56
41,Clefairy,Fairy,70,16
42,Clefable,Fairy,95,40
43,Vulpix,Fire,38,41
44,Ninetales,Fire,73,81
45,Jigglypuff,Normal,115,12
47,Zubat,Poison,40,38
48,Golbat,Poison,75,76
49,Oddish,Grass,45,6
50,Gloom,Grass,60,22
51,Vileplume,Grass,75,35
52,Paras,Bug,35,9
53,Parasect,Bug,60,19
54,Venonat,Bug,60,22
55,Venomoth,Bug,70,66
56,Diglett,Ground,10,54
57,Dugtrio,Ground,35,84
58,Meowth,Normal,40,65
59,Persian,Normal,65,86
60,Psyduck,Water,50,33
61,Golduck,Water,80,69
62,Mankey,Fighting,40,47
63,,Fighting,65,79
64,Growlithe,Fire,55,45
65,Arcanine,Fire,90,80
67,Poliwhirl,Water,65,72
68,Poliwrath,Water,90,52
69,Abra,Psychic,25,32
70,Kadabra,Psychic,40,67
71,Alakazam,Psychic,55,77
72,Mega Alakazam,Psychic,55,78
73,Machop,Fighting,70,14
74,Machoke,Fighting,80,26
75,Machamp,Fighting,90,44
76,Bellsprout,Grass,50,21
77,Weepinbell,Grass,65,37
79,Tentacool,Water,40,50
80,Tentacruel,Water,80,80
81,Geodude,Rock,40,12
82,Graveler,Rock,55,21
83,Golem,Rock,80,37
84,Ponyta,Fire,50,75
85,Rapidash,Fire,65,87
86,Slowpoke,Water,90,20
87,Slowbro,Water,95,15
88,Mega Slowbro,Water,95,14
89,Magnemite,Electric,25,17
91,Farfetch'd,Normal,52,45
92,Doduo,Normal,35,65
93,Dodrio,Normal,60,85
94,Seel,Water,65,24
95,Dewgong,Water,90,52
96,Grimer,Poison,80,18
97,Muk,Poison,105,38
98,Shellder,Water,30,19
99,Cloyster,Water,50,53
100,Gastly,Ghost,30,48
101,Haunter,Ghost,45,69
102,Gengar,Ghost,60,77
103,Mega Gengar,Ghost,60,86
104,Onix,Rock,35,48
105,Drowzee,Psychic,60,22
106,Hypno,Psychic,85,51
107,Krabby,Water,30,28
108,Kingler,Water,55,60
109,Voltorb,Electric,40,58
110,Electrode,Electric,60,84
111,Exeggcute,Grass,60,24
