Num,Name,Type_1,Attribute,Winning_Perc
1,Bulbasaur,Grass,65,28
2,Ivysaur,Grass,80,38
3,Venusaur,Grass,100,67
4,Mega Venusaur,Grass,122,56
5,Charmander,Fire,60,49
6,Charmeleon,Fire,80,54
7,Charizard,Fire,109,86
8,Mega Charizard X,Fire,130,86
9,Mega Charizard Y,Fire,159,84
10,Squirtle,Water,50,16
11,Wartortle,Water,65,42
13,Mega Blastoise,Water,135,58
14,Caterpie,Bug,20,15
15,Metapod,Bug,25,10
16,Butterfree,Bug,90,63
17,Weedle,Bug,20,23
18,Kakuna,Bug,25,13
19,Beedrill,Bug,45,63
20,Mega Beedrill,Bug,15,97
21,Pidgey,Normal,35,37
22,Pidgeotto,Normal,50,53
23,Pidgeot,Normal,70,86
24,Mega Pidgeot,Normal,135,94
25,Rattata,Normal,25,48
26,Raticate,Normal,50,72
27,Spearow,Normal,31,45
28,Fearow,Normal,61,84
29,Ekans,Poison,40,37
30,Arbok,Poison,65,58
31,Pikachu,Electric,50,68
32,Raichu,Electric,90,87
34,Sandslash,Ground,45,53
35,Nidoranâ™€,Poison,40,17
36,Nidorina,Poison,55,39
37,Nidoqueen,Poison,75,54
38,Nidoranâ™‚,Poison,40,25
39,Nidorino,Poison,55,40
40,Nidoking,Poison,85,56
41,Clefairy,Fairy,60,16
42,Clefable,Fairy,95,40
43,Vulpix,Fire,50,41
44,Ninetales,Fire,81,81
45,Jigglypuff,Normal,45,12
47,Zubat,Poison,30,38
48,Golbat,Poison,65,76
49,Oddish,Grass,75,6
50,Gloom,Grass,85,22
51,Vileplume,Grass,110,35
52,Paras,Bug,45,9
53,Parasect,Bug,60,19
54,Venonat,Bug,40,22
55,Venomoth,Bug,90,66
56,Diglett,Ground,35,54
57,Dugtrio,Ground,50,84
58,Meowth,Normal,40,65
59,Persian,Normal,65,86
60,Psyduck,Water,65,33
61,Golduck,Water,95,69
62,Mankey,Fighting,35,47
63,,Fighting,60,79
64,Growlithe,Fire,70,45
65,Arcanine,Fire,100,80
67,Poliwhirl,Water,50,72
68,Poliwrath,Water,70,52
69,Abra,Psychic,105,32
70,Kadabra,Psychic,120,67
71,Alakazam,Psychic,135,77
72,Mega Alakazam,Psychic,175,78
73,Machop,Fighting,35,14
74,Machoke,Fighting,50,26
75,Machamp,Fighting,65,44
76,Bellsprout,Grass,70,21
77,Weepinbell,Grass,85,37
79,Tentacool,Water,50,50
80,Tentacruel,Water,80,80
81,Geodude,Rock,30,12
82,Graveler,Rock,45,21
83,Golem,Rock,55,37
84,Ponyta,Fire,65,75
85,Rapidash,Fire,80,87
86,Slowpoke,Water,40,20
87,Slowbro,Water,100,15
88,Mega Slowbro,Water,130,14
89,Magnemite,Electric,95,17
91,Farfetch'd,Normal,58,45
92,Doduo,Normal,35,65
93,Dodrio,Normal,60,85
94,Seel,Water,45,24
95,Dewgong,Water,70,52
96,Grimer,Poison,40,18
97,Muk,Poison,65,38
98,Shellder,Water,45,19
99,Cloyster,Water,85,53
100,Gastly,Ghost,100,48
101,Haunter,Ghost,115,69
102,Gengar,Ghost,130,77
103,Mega Gengar,Ghost,170,86
104,Onix,Rock,30,48
105,Drowzee,Psychic,43,22
106,Hypno,Psychic,73,51
107,Krabby,Water,25,28
108,Kingler,Water,50,60
109,Voltorb,Electric,55,58
110,Electrode,Electric,80,84
111,Exeggcute,Grass,60,24
112,Exeggutor,Grass,125,39
113,Cubone,Ground,40,20
114,Marowak,Ground,50,28
115,Hitmonlee,Fighting,35,64
116,Hitmonchan,Fighting,35,62
117,Lickitung,Normal,60,14
118,Koffing,Poison,60,14
119,Weezing,Poison,85,43
120,Rhyhorn,Ground,30,29
121,Rhydon,Ground,45,44
122,Chansey,Normal,35,15
123,Tangela,Grass,100,38
124,Kangaskhan,Normal,40,75
125,Mega Kangaskhan,Normal,60,84
126,Horsea,Water,70,41
127,Seadra,Water,95,66
128,Goldeen,Water,35,51
