Num,Name,Type_1,Attribute,Winning_Perc
1,Bulbasaur,Grass,45,28
2,Ivysaur,Grass,60,38
3,Venusaur,Grass,80,67
4,Mega Venusaur,Grass,80,56
5,Charmander,Fire,65,49
6,Charmeleon,Fire,80,54
7,Charizard,Fire,100,86
8,Mega Charizard X,Fire,100,86
9,Mega Charizard Y,Fire,100,84
10,Squirtle,Water,43,16
11,Wartortle,Water,58,42
13,Mega Blastoise,Water,78,58
14,Caterpie,Bug,45,15
15,Metapod,Bug,30,10
16,Butterfree,Bug,70,63
17,Weedle,Bug,50,23
18,Kakuna,Bug,35,13
19,Beedrill,Bug,75,63
20,Mega Beedrill,Bug,145,97
21,Pidgey,Normal,56,37
22,Pidgeotto,Normal,71,53
23,Pidgeot,Normal,101,86
24,Mega Pidgeot,Normal,121,94
25,Rattata,Normal,72,48
26,Raticate,Normal,97,72
27,Spearow,Normal,70,45
28,Fearow,Normal,100,84
29,Ekans,Poison,55,37
30,Arbok,Poison,80,58
31,Pikachu,Electric,90,68
32,Raichu,Electric,110,87
34,Sandslash,Ground,65,53
35,Nidoranâ™€,Poison,41,17
36,Nidorina,Poison,56,39
37,Nidoqueen,Poison,76,54
38,Nidoranâ™‚,Poison,50,25
39,Nidorino,Poison,65,40
40,Nidoking,Poison,85,56
41,Clefairy,Fairy,35,16
42,Clefable,Fairy,60,40
43,Vulpix,Fire,65,41
44,Ninetales,Fire,100,81
45,Jigglypuff,Normal,20,12
47,Zubat,Poison,55,38
48,Golbat,Poison,90,76
49,Oddish,Grass,30,6
50,Gloom,Grass,40,22
51,Vileplume,Grass,50,35
52,Paras,Bug,25,9
53,Parasect,Bug,30,19
54,Venonat,Bug,45,22
55,Venomoth,Bug,90,66
56,Diglett,Ground,95,54
57,Dugtrio,Ground,120,84
58,Meowth,Normal,90,65
59,Persian,Normal,115,86
60,Psyduck,Water,55,33
61,Golduck,Water,85,69
62,Mankey,Fighting,70,47
63,,Fighting,95,79
64,Growlithe,Fire,60,45
65,Arcanine,Fire,95,80
67,Poliwhirl,Water,90,72
68,Poliwrath,Water,70,52
69,Abra,Psychic,90,32
70,Kadabra,Psychic,105,67
71,Alakazam,Psychic,120,77
72,Mega Alakazam,Psychic,150,78
73,Machop,Fighting,35,14
74,Machoke,Fighting,45,26
75,Machamp,Fighting,55,44
76,Bellsprout,Grass,40,21
77,Weepinbell,Grass,55,37
79,Tentacool,Water,70,50
80,Tentacruel,Water,100,80
81,Geodude,Rock,20,12
82,Graveler,Rock,35,21
83,Golem,Rock,45,37
84,Ponyta,Fire,90,75
85,Rapidash,Fire,105,87
86,Slowpoke,Water,15,20
87,Slowbro,Water,30,15
88,Mega Slowbro,Water,30,14
89,Magnemite,Electric,45,17
91,Farfetch'd,Normal,60,45
92,Doduo,Normal,75,65
93,Dodrio,Normal,100,85
94,Seel,Water,45,24
95,Dewgong,Water,70,52
96,Grimer,Poison,25,18
97,Muk,Poison,50,38
98,Shellder,Water,40,19
99,Cloyster,Water,70,53
100,Gastly,Ghost,80,48
101,Haunter,Ghost,95,69
102,Gengar,Ghost,110,77
103,Mega Gengar,Ghost,130,86
104,Onix,Rock,70,48
105,Drowzee,Psychic,42,22
106,Hypno,Psychic,67,51
107,Krabby,Water,50,28
108,Kingler,Water,75,60
109,Voltorb,Electric,100,58
110,Electrode,Electric,140,84
111,Exeggcute,Grass,40,24
